CONGLOME,VIVIENDA,HOGAR,UBIGEO,POBREZA,POBREZAV,GASHOG2D,FACTOR07,recibe_pension65,tamano_hogar,n_65mas,tiene_65mas,NBI1,NBI2,NBI3,NBI4,NBI5,pct_miembros_con_seguro,algun_miembro_sin_seguro,gasto_salud_hogar
015323,055,11,020702,1,1,11052.75390625,217.248901367188,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,25.0
015323,064,11,020702,3,3,8439.552734375,217.248901367188,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,743.0
015323,073,11,020702,2,2,5841.00537109375,217.248901367188,1.0,2,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,578.0
015323,100,11,020702,1,1,8086.2861328125,217.248901367188,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,300.0
015323,108,11,020702,1,1,7667.7099609375,217.248901367188,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,190.0
015327,021,11,020111,1,1,10912.6298828125,217.248901367188,0.0,5,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,130.0
015327,022,11,020111,3,4,12720.5859375,217.248901367188,0.0,1,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,140.0
015327,023,11,020111,3,3,23915.03515625,217.248901367188,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,44.0
015327,077,11,020111,3,3,9366.3095703125,217.248901367188,1.0,2,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,86.0
015327,078,11,020111,3,3,14783.13671875,217.248901367188,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,155.0
015327,085,11,020111,3,4,16020.9921875,217.248901367188,1.0,2,2,True,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0
015327,086,11,020111,3,3,21939.873046875,217.248901367188,0.0,4,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,1483.0
015327,087,11,020111,3,4,18818.8359375,217.248901367188,0.0,2,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,5178.0
015342,013,11,021307,3,3,18601.109375,217.248901367188,0.0,3,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,172.0
015342,014,11,021307,3,3,20104.19140625,217.248901367188,0.0,7,0,False,0.0,0.0,0.0,0.0,0.0,1.0,False,851.0
